Emp ID,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Salary,Last % Hike,Place Name,County,City,State,Zip,Region
677509,Lois,H,Walker,F,lois.walker@hotmail.com,3/29/1981,11/24/2003,168251,21%,Denver,Denver,Denver,CO,80224,West
940761,Brenda,S,Robinson,F,brenda.robinson@gmail.com,7/31/1970,7/27/2008,51063,27%,Stonewall,De Soto,Stonewall,LA,71078,South
428945,Joe,W,Robinson,M,joe.robinson@gmail.com,6/16/1963,8/3/2016,50155,16%,Michigantown,Clinton,Michigantown,IN,46057,Midwest
408351,Diane,I,Evans,F,diane.evans@yahoo.com,12/4/1977,4/16/1999,180294,1%,Hydetown,Crawford,Hydetown,PA,16328,Northeast
193819,Benjamin,R,Russell,M,benjamin.russell@charter.net,4/17/1977,7/25/2013,117642,13%,Fremont,Waupaca,Fremont,WI,54940,Midwest
499687,Patrick,F,Bailey,M,patrick.bailey@aol.com,9/27/1982,7/22/2005,72305,5%,Macksburg,Madison,Macksburg,IA,50155,Midwest
539712,Nancy,T,Baker,F,nancy.baker@bp.com,6/13/1995,9/14/2016,98189,0%,Atlanta,Fulton,Atlanta,GA,30334,South
380086,Carol,V,Murphy,F,carol.murphy@gmail.com,6/30/1958,1/28/1983,60918,20%,Blanchester,Clinton,Blanchester,OH,45107,Midwest
477616,Frances,B,Young,F,frances.young@gmail.com,6/9/1959,4/27/1994,121587,28%,Delmita,Starr,Delmita,TX,78536,South
162402,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,11/13/1987,2/17/2014,43010,4%,Eureka Springs,Carroll,Eureka Springs,AR,72632,South
231469,Ralph,L,Flores,M,ralph.flores@yahoo.com,2/5/1975,4/14/2009,118457,8%,Sabetha,Nemaha,Sabetha,KS,66534,Midwest
153989,Jack,C,Alexander,M,jack.alexander@gmail.com,5/19/1995,1/5/2017,82965,23%,Las Vegas,Clark,Las Vegas,NV,89170,West
386158,Melissa,Q,King,F,melissa.king@comcast.net,2/24/1972,11/24/2015,166892,1%,New Matamoras,Washington,New Matamoras,OH,45767,Midwest
301576,Wayne,G,Watson,M,wayne.watson@gmail.com,6/26/1996,7/19/2017,92758,14%,Maida,Cavalier,Maida,ND,58255,Midwest
441771,Cheryl,O,Scott,F,cheryl.scott@gmail.com,2/23/1958,11/26/1990,92220,12%,Quecreek,Somerset,Quecreek,PA,15555,Northeast
528509,Paula,G,Diaz,F,paula.diaz@gmail.com,8/22/1966,8/22/1994,152654,8%,Beulaville,Duplin,Beulaville,NC,28518,South
912990,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,5/18/1970,9/2/2002,184896,1%,New Douglas,Madison,New Douglas,IL,62074,Midwest
214352,Theresa,G,Lee,F,theresa.lee@gmail.com,12/5/1992,1/19/2015,197537,1%,Toeterville,Mitchell,Toeterville,IA,50481,Midwest
890290,Julia,S,Scott,F,julia.scott@apple.com,7/15/1959,2/23/2005,141518,3%,Primm Springs,Hickman,Primm Springs,TN,38476,South
622406,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,10/4/1967,6/7/1998,73862,3%,Dutchtown,Cape Girardeau,Dutchtown,MO,63745,Midwest
979607,Carol,J,Edwards,F,carol.edwards@msn.com,12/14/1994,4/25/2016,93967,30%,Shreveport,Caddo,Shreveport,LA,71162,South
969580,Matthew,L,Turner,M,matthew.turner@gmail.com,10/26/1993,2/7/2016,52237,9%,Heathsville,Northumberland,Heathsville,VA,22473,South
426038,Joan,C,Stewart,F,joan.stewart@yahoo.com,11/20/1972,12/30/2009,111673,12%,Middleport,Meigs,Middleport,OH,45760,Midwest
388642,Ruby,R,Rogers,F,ruby.rogers@gmail.com,5/1/1980,8/30/2013,160623,9%,Woodbury,Cannon,Woodbury,TN,37190,South
560455,Carolyn,V,Hayes,F,carolyn.hayes@hotmail.co.uk,3/10/1958,7/3/2001,42005,14%,Saint Cloud,Osceola,Saint Cloud,FL,34771,South
477253,Anne,L,Russell,F,anne.russell@ibm.com,7/29/1989,11/24/2013,103160,29%,Stockholm,Grant,Stockholm,SD,57264,Midwest
263480,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,1/1/1990,3/6/2014,153790,13%,Manning,Dunn,Manning,ND,58642,Midwest
683826,Roger,L,Roberts,M,roger.roberts@gmail.com,7/7/1969,1/29/2009,129625,12%,Mount Vernon,Skagit,Mount Vernon,WA,98273,West
474599,Maria,W,Walker,F,maria.walker@microsoft.com,3/19/1975,10/1/1998,48944,21%,Lawrenceburg,Lawrence,Lawrenceburg,TN,38464,South
335732,Brenda,M,Butler,F,brenda.butler@gmail.com,12/6/1963,8/20/1987,60508,29%,Mesa,Maricopa,Mesa,AZ,85208,West
329752,Lillian,X,Brown,F,lillian.brown@aol.com,5/12/1981,4/13/2015,67251,22%,Panacea,Wakulla,Panacea,FL,32346,South
893212,Amy,B,Howard,F,amy.howard@aol.com,6/16/1981,6/1/2003,112715,30%,Kline,Kline,Kline,SC,29814,South
621833,Gregory,X,Edwards,M,gregory.edwards@outlook.com,8/31/1993,9/30/2015,169245,22%,Bonanza,Klamath,Bonanza,OR,97623,West
456747,Roy,Z,Griffin,M,roy.griffin@yahoo.com,5/8/1991,8/23/2012,170895,19%,Liberty,Union,Liberty,IN,47353,Midwest
278556,Richard,Y,Mitchell,M,richard.mitchell@verizon.net,7/28/1993,8/18/2016,122226,14%,Ohatchee,Calhoun,Ohatchee,AL,36271,South
333476,Mary,P,Wilson,F,mary.wilson@sbcglobal.net,12/1/1967,12/22/1991,109394,16%,Nashville,Davidson,Nashville,TN,37219,South
218791,Aaron,N,Price,M,aaron.price@bp.com,2/10/1969,7/3/1997,54402,0%,Eckerty,Crawford,Eckerty,IN,47116,Midwest
134841,Donna,R,Brown,F,donna.brown@aol.com,9/14/1983,7/17/2013,129836,8%,Lima,Livingston,Lima,NY,14485,Northeast
